City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,nanortalik,60.1432,-45.2371,43.72,76,97,2.82,GL,1687801266
351,izhma,65.0083,53.9113,55.53,62,51,5.08,RU,1687801266
352,puerto madryn,-42.7692,-65.0385,59.36,25,0,23.78,AR,1687801266
353,kapustin yar,48.5831,45.7372,72.7,35,97,6.13,RU,1687801266
354,laguna de perlas,12.3429,-83.6712,84.29,87,100,2.62,NI,1687801266
355,jiayuguan,39.8167,98.3,72.54,17,47,2.89,CN,1687801267
356,kluczbork,50.9728,18.2182,73.06,62,71,4.65,PL,1687801267
357,sterling,39.0062,-77.4286,87.19,60,100,5.75,US,1687801267
358,alofi,-19.0595,-169.9187,62.49,94,40,0.0,NU,1687801267
359,lasa,46.6166,10.7002,81.48,58,31,5.93,IT,1687801268
360,morant bay,17.8815,-76.4093,94.71,51,43,7.78,JM,1687801268
361,yaan,7.3833,8.5667,77.14,84,86,4.97,NG,1687801268
362,astana,51.1801,71.446,64.35,59,0,17.9,KZ,1687801153
363,eberbach,49.4694,8.9928,81.39,38,82,3.0,DE,1687801268
364,dryden,49.7833,-92.7503,75.49,57,0,6.91,CA,1687801269
365,aripuana,-9.1667,-60.6333,94.86,33,5,3.31,BR,1687801269
366,maintal,50.15,8.8333,79.61,42,68,14.0,DE,1687801269
367,zmeinogorsk,51.1567,82.195,53.4,62,76,5.06,RU,1687801269
368,cleveland,41.4995,-81.6954,77.45,73,75,19.57,US,1687801270
369,montoro,38.0241,-4.3834,107.28,17,35,9.01,ES,1687801270
370,bagdarin,54.4333,113.6,57.13,91,77,2.46,RU,1687801270
371,kibre mengist,5.8833,38.9833,60.94,87,100,2.95,ET,1687801270
372,erenhot,43.6475,111.9767,72.97,24,2,4.14,CN,1687801271
373,yingcheng,30.95,113.55,74.95,89,0,6.26,CN,1687801271
374,nouadhibou,20.931,-17.0347,75.18,73,0,17.27,MR,1687801271
375,san rafael,-34.6177,-68.3301,57.36,51,40,6.73,AR,1687801271
